Projet;Type;Lieu;Vente en ligne;Design;Développement;Collaborateur;Description
Simple & Chic;Institut de beaut;Fribourg, Suisse;;Oui;Oui;Euré-k !;Salon de beauté à Neyruz (canton de Fribourg), système de réservation instantané en ligne.
Atelier de Géraldine;Fabrication de Bricelets;Saint-Amour, Jura;Oui;;Oui;Céline Andrieu;Biscuiterie artisanale spécialisée dans les bricelets, gaufrettes fines d'origine suisse façonnées à la main. Gamme sucrée et salée, produits locaux du Jura, démarche éco-responsable.
Aquitaine Cars;Transport de voyageurs;Figeac, Lot;;;Oui;Euré-k !;Filiale du Groupe Delbos spécialisée dans le transport routier de voyageurs en autocar (scolaire, lignes régulières, tourisme) dans le Sud-Ouest.
Nos Jardins Imparfaits;Jus et sodas artisanaux;Les-Trois-Châteaux, Jura;Oui;;Oui;Céline Andrieu;Producteur bio de boissons botaniques (jus, sodas, confitures) cultivées en agroécologie sur les contreforts du Jura. Approche gastronomique et millésimée, du jardin au verre.
Château Lamartine;Vignoble bio;Soturac, Lot;;;Oui;Euré-k !;Domaine familial (famille Gayraud, 4e génération) de 37 ha en bio à l'extrémité ouest de l'AOP Cahors. Malbec sur les plus vieilles terrasses de la vallée du Lot, exposition plein sud.
Alliance Française de Toulouse;École de langue;Toulouse, Haute-Garonne;Oui;Oui;Oui;Euré-k !;École internationale de FLE active depuis 1985, installée dans un bâtiment historique classé. Centre d'examen DELF/TCF agréé, label Qualité FLE, membre du réseau mondial des Alliances Françaises.
Ferme La Borie d'Imbert;Fromage de chèvre et viande;Rocamadour, Lot;Oui;;Oui;Céline Andrieu, Euré-k !;Ferme pédagogique et fromagerie produisant le Rocamadour AOP fermier, charcuteries de porc et savons au lait de chèvre. Visite gratuite, accueil agritouristique sur les Causses du Quercy.
Emmaüs Cahors;Dépôt vente occasion solidaire;Cahors, Lot;;;Oui;Euré-k !;Association solidaire de collecte, tri et revente d'objets de seconde main. Économie circulaire et insertion sociale, ventes en boutique et en ligne via Label Emmaüs.
Agence Indie;Agence spécialisée réseaux sociaux;Lyon, Rhône;;;Oui;Céline Andrieu;Agence digitale lyonnaise fondée en 2010, spécialisée food & lifestyle. Social media, création de contenus, community management, influence et formation.
Saveur Pimenthé;Epicerie fine spécialisée thés & cafés;Lausanne, Suisse;Oui;;Oui;Céline Andrieu;Boutique lausannoise fondée en 1932 proposant thés en vrac, cafés torréfiés sur place, épices du monde et petite épicerie fine. Seul torréfacteur artisanal de Lausanne.
Angle Droit;Commissaires de justice;Nancy, Meurthe-et-Moselle;;Oui;Oui;Euré-k !;Étude de commissaires de justice implantée à Nancy et Commercy. Signification d'actes, recouvrement, constats, ventes aux enchères et conseil juridique.
Groupe Delbos;Groupe de transport;Figeac, Lot;;;Oui;Euré-k !;Groupe familial fondé en 1951 à Figeac, holding réunissant Cars Delbos, Fiageo, Aquitaine Cars, FITOUR Voyages et AVIS Delbos Location. Transport de voyageurs, tourisme et location de véhicules.
CCVLV / Vallée du Lot et du Vignoble;Communauté de communes;Puy-l-Évêque, Lot;;Oui;Oui;Euré-k !;Communauté de communes du Lot regroupant les territoires viticoles et touristiques de la vallée du Lot autour de Puy-l'Évêque. Services publics, aménagement du territoire et promotion locale.
Mas del Périé;Vignoble en biodynamie;Trespoux-Rassiels, Lot;Oui;;Oui;Euré-k !;Domaine viticole biodynamique créé en 2006 par Fabien Jouves sur les plus hauts coteaux de Cahors. Malbec 100%, vinification naturelle sans intrants, certifié Demeter. Vins de terroir et vins de soif.
Aux Cadors de mon Zinc;Vente et ateliers autour du vin;Paris;Oui;Oui;Oui;;Cave parisienne spécialisée dans la sélection et la vente de vins biologiques et nature, avec boutique en ligne.
Château Eugénie;Vignoble;Albas, Lot;Oui;Oui;Oui;Euré-k !;Domaine viticole familial (famille Couture) depuis 1470 à Albas, AOP Cahors. 55 ha de Malbec sur terrasses, coteaux et causse, labellisé HVE. Visites, dégustations et œnotourisme.
Groupement des Photographes et Vidéastes du Lot;Syndicat;Cahors, Lot;;Oui;Oui;;Syndicat professionnel regroupant les photographes et vidéastes du département du Lot. Promotion du métier, mise en réseau et valorisation des compétences locales.
Mairie de Prayssac;Mairie;Prayssac, Lot;;Oui;Oui;Euré-k !;Commune lotoise située au cœur de la vallée du Lot et du vignoble de Cahors. Site institutionnel de la mairie à destination des habitants et visiteurs.
